source_file,project_name,sector,progress_percent,cost_cr
1755859326954-PCDO  JULY-2025.txt,S ONLY WHICH ARE IN PROGRESS,Railways,91,
1755859326954-PCDO  JULY-2025.txt,Date of sanction: Sep’15,Railways,100,199.12
1755859326954-PCDO  JULY-2025.txt,Date of sanctioned: Nov’15,Railways,100,141.47
1755859326954-PCDO  JULY-2025.txt,completed & commissioned.,Railways,100,198.98
1755859326954-PCDO  JULY-2025.txt,Date of sanction: Sep’2015,Railways,88,171.36
1755859326954-PCDO  JULY-2025.txt,TARGETED IN 2025-26:,Roads,97,
1755859326954-PCDO  JULY-2025.txt,Ajni - Nagpur (2.91Km) 3rd & 4th line.,Railways,50,
1755859326954-PCDO  JULY-2025.txt,20A for all villages,Railways,75,629.77
1755859326954-PCDO  JULY-2025.txt,Date of Cumulative Expenditure up to ₹ 2677.01 Cr. (Cap) (CR.),Railways,98,99.59
1755859326954-PCDO  JULY-2025.txt,TARGETED 2025-26:,Railways,85,4872.53
1755859326954-PCDO  JULY-2025.txt,targeted for commissioning in 2025-26: -,Railways,94,853.62
1755859326954-PCDO  JULY-2025.txt,s % 16 15 94% Aug’25,Railways,94,
1755859326954-PCDO  JULY-2025.txt,to expedite the land acquisition,Railways,51,1441.65
1755859326954-PCDO  JULY-2025.txt,wise progress of Targeted Section in 2025-26: -,Roads,70,
1755859326954-PCDO  JULY-2025.txt,completed,,10,
1755859326954-PCDO  JULY-2025.txt,TKM 10.1 0 - 0,,9,674.11
1755859326954-PCDO  JULY-2025.txt,ing,Railways,92,1875.54
1755859326954-PCDO  JULY-2025.txt,S TARGETED IN 2025-26:,,98,
1755859326954-PCDO  JULY-2025.txt,in progress,,100,
1755859326954-PCDO  JULY-2025.txt,in progress.,,25,
1755859326954-PCDO  JULY-2025.txt,Date of sanction: Sep’15 Cumulative Expenditure up to ₹ 636.88 Cr. (Cap),Railways,50,636.88
1755859326954-PCDO  JULY-2025.txt,s,,35,
1755859326954-PCDO  JULY-2025.txt,of Mumbai Division of Central,Railways,75,
1755859326954-PCDO  JULY-2025.txt,4.4.1 Summary of salient Technical Details of project:,Railways,20,338.33
1755859326954-PCDO  JULY-2025.txt,1. Name of Project: Pen–Roha (P.B. Item No.27 of 2025-26),Railways,0,381.7
1755859326954-PCDO  JULY-2025.txt,S,Railways,10,113.92
1755859326954-PCDO  JULY-2025.txt,Not available.,Railways,5,3284.78
1755859326954-PCDO  JULY-2025.txt,Jalgaon- Manmad 4th line (Umbrella work)(P.B. Item No.46,Railways,5,2573.72
1755859326954-PCDO  JULY-2025.txt,Date of sanction: BG 25-26: -,,0,
1755859326954-PCDO  JULY-2025.txt,Date of sanction: BG 25-26: -,,0,
1755859326954-PCDO  JULY-2025.txt,ing,Railways,4,353.08
1755859326954-PCDO  JULY-2025.txt,S TARGETED IN 2025-26:,Railways,70,2538.67
1755859326954-PCDO  JULY-2025.txt,Date of sanction: Cumulative Expenditure up to ₹ 1735.37 Cr. (Cap),,47,697.0
1755859326954-PCDO  JULY-2025.txt,S TARGETED IN 2025-26:,Railways,40,277.19
1755859326954-PCDO  JULY-2025.txt,will provide much needed connectivity between Wardha on Howrah-,Railways,10,1000.42
1755859326954-PCDO  JULY-2025.txt,-Belapur-Seawood-Uran (PH-81 MTP) (Pink Book Item No 266 of,Railways,100,495.46
1755859326954-PCDO  JULY-2025.txt,Date of sanction: LNL-PLTN section – Cumulative Expenditure upto ₹ 643.66 Cr. (Cap),Railways,50,43.0
1755859326954-PCDO  JULY-2025.txt,Vaibhavwadi-Kolhapur (P.B. Item No.9# of 2025-26) DPR,Railways,72,2750.0
1755859326954-PCDO  JULY-2025.txt,for which sanction was conveyed vide Railway Board's letter,Railways,72,3438.51
